iter	Passed	Remaining
0	165	165326
1	168	84086
2	171	57010
3	174	43385
4	177	35226
5	179	29765
6	182	25955
7	185	23025
8	187	20678
9	189	18714
10	190	17149
11	192	15820
12	193	14683
13	194	13716
14	196	12885
15	197	12146
16	198	11496
17	200	10917
18	201	10398
19	202	9933
20	204	9519
21	205	9134
22	206	8782
23	208	8463
24	209	8172
25	210	7898
26	212	7645
27	213	7415
28	215	7202
29	216	6998
30	217	6803
31	219	6625
32	220	6462
33	221	6305
34	223	6159
35	224	6018
36	226	5882
37	227	5752
38	228	5628
39	229	5510
40	230	5400
41	232	5294
42	233	5195
43	235	5108
44	236	5020
45	237	4933
46	239	4848
47	240	4765
48	241	4688
49	242	4613
50	244	4541
51	245	4470
52	246	4404
53	248	4345
54	249	4287
55	250	4226
56	252	4169
57	253	4114
58	254	4061
59	255	4007
60	256	3955
61	258	3906
62	259	3857
63	260	3810
64	261	3765
65	263	3732
66	265	3691
67	266	3650
68	267	3610
69	268	3570
70	269	3530
71	270	3490
72	271	3450
73	272	3412
74	273	3374
75	274	3338
76	275	3303
77	276	3269
78	277	3238
79	278	3204
80	279	3172
81	280	3140
82	281	3104
83	281	3074
84	282	3043
85	283	3013
86	284	2984
87	285	2955
88	285	2926
89	286	2898
90	287	2870
91	288	2842
92	288	2816
93	289	2789
94	290	2763
95	290	2738
96	291	2717
97	292	2695
98	293	2671
99	294	2648
100	294	2624
101	295	2601
102	296	2578
103	296	2556
104	297	2535
105	298	2513
106	298	2492
107	299	2471
108	299	2451
109	300	2430
110	301	2411
111	301	2392
112	302	2373
113	303	2355
114	303	2336
115	304	2318
116	304	2299
117	305	2282
118	306	2266
119	306	2249
120	307	2234
121	308	2217
122	308	2202
123	309	2187
124	310	2171
125	310	2156
126	311	2140
127	312	2125
128	312	2110
129	313	2096
130	313	2082
131	314	2068
132	315	2054
133	315	2040
134	316	2026
135	316	2013
136	317	2000
137	318	1988
138	318	1975
139	319	1962
140	320	1950
141	320	1937
142	321	1925
143	321	1914
144	322	1903
145	323	1892
146	324	1881
147	324	1870
148	325	1859
149	326	1848
150	326	1837
151	327	1827
152	328	1816
153	328	1805
154	329	1795
155	330	1785
156	330	1775
157	331	1765
158	331	1755
159	332	1745
160	332	1734
161	333	1725
162	334	1715
163	334	1706
164	335	1697
165	336	1688
166	336	1679
167	337	1671
168	338	1663
169	339	1655
170	339	1646
171	340	1637
172	340	1629
173	341	1621
174	342	1613
175	342	1605
176	343	1596
177	344	1588
178	344	1581
179	345	1573
180	345	1565
181	346	1557
182	347	1549
183	347	1542
184	348	1535
185	349	1527
186	349	1520
187	350	1513
188	350	1505
189	351	1499
190	352	1493
191	353	1487
192	354	1480
193	354	1473
194	355	1466
195	355	1460
196	356	1453
197	357	1447
198	357	1440
199	358	1433
200	359	1427
201	359	1420
202	360	1414
203	360	1408
204	361	1401
205	362	1395
206	362	1389
207	363	1383
208	364	1377
209	364	1371
210	365	1366
211	366	1360
212	366	1355
213	367	1350
214	368	1346
215	369	1340
216	369	1334
217	370	1329
218	371	1324
219	371	1318
220	372	1313
221	373	1307
222	373	1302
223	374	1296
224	375	1291
225	375	1286
226	376	1281
227	376	1276
228	377	1271
229	378	1266
230	378	1261
231	379	1256
232	380	1252
233	381	1247
234	381	1243
235	382	1238
236	383	1235
237	384	1230
238	385	1225
239	385	1221
240	386	1217
241	387	1212
242	387	1207
243	388	1203
244	388	1198
245	389	1193
246	390	1189
247	390	1184
248	391	1180
249	391	1175
250	392	1171
251	393	1167
252	393	1162
253	394	1158
254	394	1153
255	395	1149
256	396	1145
257	396	1141
258	397	1137
259	398	1133
260	399	1130
261	399	1126
262	400	1122
263	401	1118
264	402	1115
265	402	1111
266	403	1107
267	403	1103
268	404	1099
269	405	1095
270	405	1091
271	406	1087
272	406	1083
273	407	1079
274	408	1075
275	408	1072
276	409	1068
277	409	1064
278	410	1061
279	411	1057
280	412	1054
281	412	1051
282	413	1048
283	414	1044
284	415	1041
285	415	1037
286	416	1034
287	417	1031
288	417	1027
289	418	1025
290	419	1022
291	420	1018
292	420	1015
293	421	1012
294	422	1008
295	422	1005
296	423	1002
297	424	998
298	424	995
299	425	992
300	425	989
301	426	986
302	427	983
303	428	981
304	429	978
305	429	974
306	430	971
307	431	968
308	431	965
309	432	962
310	433	959
311	433	956
312	434	953
313	434	950
314	435	947
315	436	944
316	436	941
317	437	938
318	438	935
319	438	932
320	439	929
321	439	926
322	440	923
323	441	920
324	441	917
325	442	915
326	443	912
327	444	910
328	445	907
329	445	904
330	446	902
331	447	899
332	447	896
333	448	894
334	448	891
335	449	888
336	450	885
337	450	882
338	451	880
339	452	877
340	452	874
341	453	872
342	453	869
343	454	866
344	455	863
345	455	861
346	456	858
347	457	856
348	457	853
349	458	851
350	459	849
351	460	847
352	460	844
353	461	842
354	462	839
355	462	837
356	463	834
357	463	832
358	464	829
359	465	826
360	465	824
361	466	822
362	467	819
363	467	817
364	468	814
365	468	812
366	469	809
367	470	807
368	470	805
369	471	802
370	472	800
371	473	798
372	473	796
373	474	794
374	475	792
375	475	789
376	476	787
377	477	785
378	477	782
379	478	780
380	479	778
381	479	775
382	480	773
383	480	771
384	481	769
385	482	766
386	482	764
387	483	762
388	483	760
389	484	757
390	485	755
391	485	753
392	486	751
393	487	749
394	488	747
395	488	745
396	489	743
397	490	741
398	491	739
399	491	737
400	492	736
401	493	734
402	494	732
403	495	730
404	495	728
405	496	726
406	496	723
407	497	721
408	498	719
409	498	717
410	499	715
411	499	713
412	500	711
413	501	709
414	501	707
415	502	705
416	503	703
417	504	701
418	504	700
419	505	698
420	506	696
421	507	694
422	508	692
423	508	691
424	509	689
425	510	687
426	511	685
427	511	683
428	512	682
429	513	680
430	514	678
431	514	677
432	515	675
433	516	673
434	517	671
435	517	669
436	518	668
437	519	666
438	520	664
439	520	662
440	521	661
441	522	659
442	523	657
443	523	655
444	524	654
445	525	652
446	525	650
447	526	648
448	527	646
449	527	645
450	528	643
451	529	641
452	529	639
453	530	637
454	531	636
455	532	634
456	532	633
457	533	631
458	534	629
459	534	627
460	535	626
461	536	624
462	537	623
463	538	621
464	539	620
465	539	618
466	540	616
467	541	615
468	541	613
469	542	611
470	543	610
471	543	608
472	544	606
473	545	604
474	545	602
475	546	601
476	547	600
477	548	598
478	549	597
479	550	595
480	550	594
481	551	592
482	552	591
483	553	589
484	553	588
485	554	586
486	555	584
487	555	583
488	556	581
489	557	580
490	558	578
491	558	576
492	559	575
493	559	573
494	560	572
495	562	571
496	563	570
497	564	569
498	565	567
499	566	566
500	566	564
501	567	562
502	568	561
503	568	559
504	569	558
505	570	556
506	570	554
507	571	553
508	571	551
509	572	550
510	573	548
511	573	547
512	574	545
513	575	543
514	576	542
515	577	541
516	578	540
517	579	538
518	579	537
519	580	535
520	581	534
521	581	532
522	582	531
523	583	529
524	583	528
525	584	526
526	585	525
527	585	523
528	586	522
529	586	520
530	587	518
531	588	517
532	588	515
533	589	514
534	590	513
535	591	511
536	592	510
537	593	509
538	593	507
539	594	506
540	595	505
541	595	503
542	596	502
543	597	500
544	597	499
545	598	497
546	599	496
547	599	494
548	600	493
549	600	491
550	601	490
551	602	488
552	602	487
553	603	485
554	604	484
555	604	483
556	605	481
557	606	480
558	607	478
559	607	477
560	608	476
561	609	474
562	609	473
563	610	471
564	611	470
565	611	469
