iter	Passed	Remaining
0	0	883
1	1	786
2	2	766
3	2	736
4	3	722
5	4	708
6	4	708
7	5	715
8	6	714
9	7	708
10	7	707
11	8	704
12	9	702
13	9	700
14	10	698
15	11	696
16	12	698
17	12	702
18	13	705
19	14	703
20	15	701
21	15	701
22	16	701
23	17	699
24	17	696
25	18	694
26	19	692
27	19	689
28	20	687
29	21	687
30	21	687
31	22	685
32	23	684
33	24	684
34	24	685
35	25	684
36	26	683
37	26	682
38	27	681
39	28	680
40	29	679
41	29	678
42	30	680
43	31	681
44	32	680
45	32	680
46	33	679
47	34	678
48	34	677
49	35	676
50	36	675
51	36	673
52	37	673
53	38	672
54	39	671
55	39	673
56	40	672
57	41	671
58	42	670
59	42	670
60	43	669
61	44	667
62	44	666
63	45	665
64	46	664
65	46	663
66	47	663
67	48	662
68	49	664
69	50	664
70	50	664
71	51	663
72	52	662
73	52	661
74	53	659
75	54	659
76	54	658
77	55	657
78	56	656
79	56	655
80	57	654
81	58	653
82	58	648
83	59	647
84	60	646
85	60	645
86	61	644
87	62	645
88	62	644
89	63	643
90	64	642
91	65	642
92	65	640
93	66	639
94	67	638
95	67	638
96	68	638
97	69	638
98	70	637
99	70	637
100	71	637
101	72	639
102	73	640
103	74	639
104	74	638
105	75	637
106	76	635
107	76	633
108	77	632
109	78	631
110	78	629
111	79	628
112	79	626
113	80	625
114	81	624
115	81	623
116	82	620
117	82	619
118	83	618
119	84	617
120	84	616
121	85	614
122	86	614
123	86	613
124	87	612
125	88	611
126	88	610
127	89	609
128	90	609
129	91	609
130	92	612
131	93	613
132	94	612
133	94	611
134	95	610
135	95	609
136	96	607
137	97	606
138	97	604
139	98	603
140	98	602
141	99	599
142	99	598
143	100	597
144	101	596
145	101	595
146	102	594
147	103	593
148	103	591
149	104	590
150	104	590
151	105	589
152	106	589
153	107	588
154	107	587
155	108	587
156	109	587
157	110	587
158	110	586
159	111	586
160	112	584
161	112	583
162	113	582
163	114	581
164	114	580
165	115	579
166	115	578
167	116	577
168	117	576
169	117	575
170	118	574
171	119	573
172	119	572
173	120	571
174	121	570
175	121	569
176	122	568
177	122	567
178	123	566
179	124	566
180	125	566
181	125	565
182	126	564
183	127	564
184	127	563
185	128	563
186	129	562
187	129	561
188	130	560
189	131	559
190	131	558
191	132	557
192	132	555
193	133	555
194	134	554
195	134	553
196	135	552
197	136	551
198	136	550
199	137	549
200	137	548
201	138	547
202	139	546
203	139	545
204	140	544
205	141	543
206	141	543
207	142	543
208	143	542
209	143	541
210	144	540
211	145	539
212	145	538
213	146	537
214	147	536
215	147	535
216	148	534
217	148	533
218	149	533
219	150	531
220	150	530
221	151	530
222	151	529
223	152	528
224	153	527
225	153	526
226	154	525
227	154	524
228	155	523
229	156	522
230	156	522
231	157	521
232	158	520
233	158	519
234	159	519
235	160	518
236	160	518
237	161	517
238	162	516
239	162	516
240	163	515
241	164	515
242	165	514
243	165	513
244	166	513
245	167	512
246	167	511
247	168	510
248	169	510
249	169	509
250	170	508
251	171	508
252	171	507
253	172	506
254	173	505
255	173	505
256	174	504
257	174	503
258	175	502
259	176	501
260	176	500
261	177	499
262	178	499
263	178	498
264	179	497
265	180	497
266	181	497
267	181	496
268	182	495
269	182	494
270	183	493
271	184	492
272	184	491
273	185	491
274	185	490
275	186	489
276	187	488
277	187	487
278	188	486
279	188	485
280	189	485
281	190	484
282	190	483
283	191	482
284	192	482
285	192	481
286	193	480
287	194	479
288	194	478
289	195	478
290	196	477
291	196	476
292	197	475
293	197	475
294	198	474
295	199	474
296	199	473
297	200	472
298	201	471
299	201	470
300	202	470
301	203	469
302	203	468
303	204	467
304	205	467
305	205	466
306	206	466
307	207	465
308	207	464
309	208	463
310	208	462
311	209	462
312	210	461
313	210	460
314	211	460
315	212	459
316	212	458
317	213	457
318	213	456
319	214	455
320	215	454
321	215	454
322	216	454
323	217	453
324	218	453
325	219	452
326	219	452
327	220	451
328	221	450
329	221	450
330	222	449
331	223	448
332	224	448
333	224	448
334	225	447
335	226	446
336	226	446
337	227	445
338	227	444
339	228	444
340	229	443
341	229	442
342	230	441
343	231	441
344	231	440
345	232	439
346	233	438
347	233	438
348	234	437
349	235	437
350	236	436
351	236	436
352	237	435
353	238	435
354	239	434
355	239	433
356	240	433
357	241	432
358	242	432
359	242	431
360	243	430
361	244	430
362	244	429
363	245	428
364	246	428
365	246	427
366	247	426
367	247	425
368	248	425
369	249	424
370	249	423
371	250	423
372	251	422
373	252	421
374	252	421
375	253	420
376	254	420
377	255	420
378	256	419
379	256	419
380	257	418
381	258	418
382	259	417
383	259	417
384	260	416
385	261	415
386	261	414
387	262	414
388	263	413
389	263	412
390	264	412
391	265	411
392	265	410
393	266	409
394	267	409
395	267	408
396	268	407
397	268	406
398	269	405
399	270	405
400	270	404
401	271	403
402	272	403
403	273	402
404	273	402
405	274	401
406	275	400
407	275	400
408	276	399
409	277	398
410	278	398
411	278	397
412	279	396
413	279	396
414	280	395
415	281	394
416	281	393
417	282	393
